Species,Order,Parvorder,Family,Epoch,Epoch.Range,Epoch Time,Period,Width,no. specimens
Sousa chinensis,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,214.2,3
Australodelphis mirus,Cetacea,Odontoceti,Delphinidae,Pliocene,2.58-5.3,5.3,Neogene,212,1
Septemtriocetus bosselaersi,Cetacea,Odontoceti,Phocoenidae,Pliocene,2.58-5.3,5.3,Neogene,190,1
Parapontoporia sternbergi,Cetacea,Odontoceti,Lipotidae,Pliocene,2.58-5.3,5.3,Neogene,138.5,2
Balaenoptera cortesii,Cetacea,Mysteceti,Balaenopteridae,Pliocene,2.58-5.3,5.3,Neogene,750,1
Balaenoptera davidsonii,Cetacea,Mysteceti,Balaenopteridae,Pliocene,2.58-5.3,5.3,Neogene,850,1
Balaenoptera acutorostrata,Cetacea,Mysteceti,Balaenopteridae,Late Miocene,5.3-11.2,11.2,Neogene,406.5,2
Isanacetus laticephalus,Cetacea,Mysteceti,NA,Late Miocene,5.3-11.2,11.2,Neogene,494,1
Orcinus orca,Cetacea,Odontoceti,Delphinidae,Late Miocene,5.3-11.2,11.2,Neogene,530,1
Acrophyseter deinodon,Cetacea,Odontoceti,NA,Late Miocene,5.3-11.2,11.2,Neogene,466,1
Monodon monoceros,Cetacea,Odontoceti,Monodontidae,Late Miocene,5.3-11.2,11.2,Neogene,392.5,2
Messapicetus gregarius,Cetacea,Odontoceti,Ziphiidae,Late Miocene,5.3-11.2,11.2,Neogene,330,3
Odobenocetops peruvianus,Cetacea,Odontoceti,Odobenocetopsidae,Late Miocene,5.3-11.2,11.2,Neogene,308,1
Uranocetus gramensis,Cetacea,Mysteceti,NA,Late Miocene,5.3-11.2,11.2,Neogene,736,1
Lophocetus calvertensis,Cetacea,Odontoceti,NA,Late Miocene,5.3-11.2,11.2,Neogene,162.5,1
Megaptera hubachi,Cetacea,Mysteceti,Balaenopteridae,Late Miocene,5.3-11.2,11.2,Neogene,850,1
Parabalaenoptera baulinensis,Cetacea,Mysteceti,NA,Late Miocene,5.3-11.2,11.2,Neogene,980,1
Mixocetus elysius,Cetacea,Mysteceti,Tranatocetidae,Late Miocene,5.3-11.2,11.2,Neogene,1125,1
Parietobalaena palmeri,Cetacea,Mysteceti,NA,Mid Miocene,11.2-17.1,17.1,Neogene,442,1
Diorocetus hiatus,Cetacea,Mysteceti,NA,Mid Miocene,11.2-17.1,17.1,Neogene,550,1
Prosqualodon hamiltoni,Cetacea,Odontoceti,Squalodontidae,Mid Miocene,11.2-17.1,17.1,Neogene,340,1
Hadrodelphis calvertense,Cetacea,Odontoceti,NA,Mid Miocene,11.2-17.1,17.1,Neogene,325,1
Macrokentriodon morani,Cetacea,Odontoceti,NA,Mid Miocene,11.2-17.1,17.1,Neogene,290,1
Eurhinodelphis cocheteuxi,Cetacea,Odontoceti,Eurhinodelphinidae,Mid Miocene,11.2-17.1,17.1,Neogene,274,1
Pelocetus calvertensis,Cetacea,Mysteceti,NA,Mid Miocene,11.2-17.1,17.1,Neogene,946,1
Tagicetus joneti,Cetacea,Odontoceti,NA,Mid Miocene,11.2-17.1,17.1,Neogene,166,1
Phocoena phocoena,Cetacea,Odontoceti,Phocoenidae,Mid Miocene,11.2-17.1,17.1,Neogene,145.7,5
Balaenoptera siberi,Cetacea,Mysteceti,Balaenopteridae,Mid Miocene,11.2-17.1,17.1,Neogene,1110,1
Cophocetus oregonensis,Cetacea,Mysteceti,Cetotheriidae,Early Miocene,17.1-23,23,Neogene,626,1
Titanocetus sammarinensis,Cetacea,Mysteceti,Cetotheriidae,Early Miocene,17.1-23,23,Neogene,720,1
Aglaocetus patulus,Cetacea,Mysteceti,NA,Early Miocene,17.1-23,23,Neogene,774,1
Aglaocetus moreni,Cetacea,Mysteceti,NA,Early Miocene,17.1-23,23,Neogene,860,1
Prosqualodon davidis,Cetacea,Odontoceti,NA,Early Miocene,17.1-23,23,Neogene,378,1
Prosqualodon australis,Cetacea,Odontoceti,NA,Early Miocene,17.1-23,23,Neogene,360,1
Notocetus vanbenedeni,Cetacea,Odontoceti,Squalodelphinidae,Early Miocene,17.1-23,23,Neogene,241,2
Delphinodon dividum,Cetacea,Odontoceti,Kentriodontidae,Early Miocene,17.1-23,23,Neogene,190,1
Mammalodon colliveri,Cetacea,Mysteceti,Mammalodontidae,Late Oligocene,23-28.45,28.45,Paleogene,268,1
Macrodelphinus kelloggi,Cetacea,Odontoceti,NA,Late Oligocene,23-28.45,28.45,Paleogene,350,1
Waipatia maerewhenua,Cetacea,Odontoceti,Waipatiidae,Late Oligocene,23-28.45,28.45,Paleogene,244,1
Platanista gangetica,Cetacea,Odontoceti,Platanistidae,Late Oligocene,23-28.45,28.45,Paleogene,159.2,1
Tokarahia lophocephalus,Cetacea,Mysteceti,Eomysticetidae,Late Oligocene,23-28.45,28.45,Paleogene,690,1
Waharoa ruwehnua,Cetacea,Mysteceti,Eomysticetidae,Late Oligocene,28.45,28.45,Paleogene,324,1
Aetiocetus weltoni,Cetacea,Mysteceti,Aetiocetidae,Early Oligocene,28.45-33.9,33.9,Paleogene,287,1
Janjucetus hunderi,Cetacea,Mysteceti,Mammalodontidae,Early Oligocene,28.45-33.9,33.9,Paleogene,312,18
Aetiocetus cotylalveus,Cetacea,Mysteceti,Aetiocetidae,Early Oligocene,28.45-33.9,33.9,Paleogene,316,1
Mystacodon selenensis,Cetacea,Mysteceti,Mystacodontidae,Late Eocene,45,36.4,Paleogene,399.6,1
Georgiacetus vogtlensis,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,310,1
Babiacetus indicus,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,299,1
Qaisracetus arifi,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,280,1
Maiacetus inuus,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,270,1
Takracetus simus,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,266,1
Indocetus ramani,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,260,1
Rodhocetus kasranii,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,260,2
Remingtonocetus domandaensis,Cetacea,Archaeoceti,Remingtonocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,250,1
Protocetus atavus,Cetacea,Archaeoceti,Protocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,239,1
Remingtonocetus harudiensis,Cetacea,Archaeoceti,Remingtonocetidae,Mid Eocene,41.3-48.7,48.7,Paleogene,230,1
